Parameter,"x_{SS} (Exp0, Sub0)__main/p","x_{SS} (Exp0, Sub0)__main/q","y_{SS} (Exp0, Sub0)__main/p","y_{SS} (Exp0, Sub0)__main/q"
main/p,,-3.798660907832242e-13,,9.992007221626409e-16
main/q,,,,
