Parameter,"S1_x_{SS} (Exp0, Sub0)","ST_x_{SS} (Exp0, Sub0)","S1_y_{SS} (Exp0, Sub0)","ST_y_{SS} (Exp0, Sub0)"
main/p,0.9997711146710059,0.9997711146712859,3.0818713048058206e-15,3.3673582061224765e-28
main/q,7.343380928310802e-14,3.6328161768116363e-22,0.9997711146715534,0.9997711146715487
