Parameter,"S1_x_{SS} (Exp0, Sub0)","ST_x_{SS} (Exp0, Sub0)","S1_y_{SS} (Exp0, Sub0)","ST_y_{SS} (Exp0, Sub0)"
main/p,0.7200000000108944,0.7200000000085923,1.9123553352096478e-16,1.133448290870778e-29
main/q,-3.158142081189447e-11,5.006132913571292e-22,1.999999999999977,2.0000000000000053
