Parameter,"S1_x_{SS} (Exp0, Sub0)","ST_x_{SS} (Exp0, Sub0)","S1_y_{SS} (Exp0, Sub0)","ST_y_{SS} (Exp0, Sub0)"
main/p,1.0001401902583436,1.0001401902580265,-9.99765310776882e-16,4.608216273472187e-28
main/q,1.7070007294384472e-13,3.6171340962431846e-22,0.9998197553823049,0.999819755382304
