Parameter,"S1_v_{AR} (Exp0, Sub0)","ST_v_{AR} (Exp0, Sub0)","S1_q_{lv} (Exp0, Sub0)","ST_q_{lv} (Exp0, Sub0)","S1_u_{AR} (Exp0, Sub0)","ST_u_{AR} (Exp0, Sub0)"
global/q_lv_init,0.4575495968727688,0.4503706898174787,0.952866590364539,0.9451430654178775,0.48724390423148733,0.48980153133114096
aortic_root/C,0.19171916319105076,0.19044417380532258,-0.00086864464930285,0.01175060325612358,0.5034488459491431,0.507804776580784
global/E_lv_A,0.35041262143356827,0.362300192856499,0.042082824420213584,0.0493071970339985,0.010603023945386625,0.01174289504996018
