Parameter,"v_{AR} (Exp0, Sub0)__global/q_lv_init","v_{AR} (Exp0, Sub0)__aortic_root/C","v_{AR} (Exp0, Sub0)__global/E_lv_A","v_{AR} (Exp0, Sub0)__global/E_lv_B","v_{AR} (Exp0, Sub0)__global/q_lv_init","v_{AR} (Exp0, Sub0)__aortic_root/C","v_{AR} (Exp0, Sub0)__global/E_lv_A","v_{AR} (Exp0, Sub0)__global/E_lv_B","q_{lv} (Exp0, Sub0)__global/q_lv_init","q_{lv} (Exp0, Sub0)__aortic_root/C","q_{lv} (Exp0, Sub0)__global/E_lv_A","q_{lv} (Exp0, Sub0)__global/E_lv_B","u_{AR} (Exp0, Sub0)__global/q_lv_init","u_{AR} (Exp0, Sub0)__aortic_root/C","u_{AR} (Exp0, Sub0)__global/E_lv_A","u_{AR} (Exp0, Sub0)__global/E_lv_B","u_{AR} (Exp0, Sub0)__global/q_lv_init","u_{AR} (Exp0, Sub0)__aortic_root/C","u_{AR} (Exp0, Sub0)__global/E_lv_A","u_{AR} (Exp0, Sub0)__global/E_lv_B","u_{AR} (Exp0, Sub0)__global/q_lv_init","u_{AR} (Exp0, Sub0)__aortic_root/C","u_{AR} (Exp0, Sub0)__global/E_lv_A","u_{AR} (Exp0, Sub0)__global/E_lv_B",Cost__global/q_lv_init,Cost__aortic_root/C,Cost__global/E_lv_A,Cost__global/E_lv_B
global/q_lv_init,,-0.2446073996547331,-0.0903201733573355,-0.0719025168835441,,-0.2446073996547331,-0.0903201733573355,-0.0719025168835441,,-0.1929028214428788,-0.09983258517116088,-0.014386016449861483,,-0.45842499141963977,-0.24805991783564152,-0.24853158955355412,,-0.45842499141963977,-0.24805991783564152,-0.24853158955355412,,-0.45842499141963977,-0.24805991783564152,-0.24853158955355412,,0.3318634441372702,-0.11082956316468145,0.3490831434371981
aortic_root/C,,,-0.3157119694368093,-0.4236490508419719,,,-0.3157119694368093,-0.4236490508419719,,,-0.07075518675056967,-0.048264356981704226,,,0.04852596793265074,-0.08321692198993366,,,0.04852596793265074,-0.08321692198993366,,,0.04852596793265074,-0.08321692198993366,,,1.2263227566435646,3.4698919478672736
global/E_lv_A,,,,-0.005904378012543954,,,,-0.005904378012543954,,,,-0.0403533584971521,,,,0.037148630115727804,,,,0.037148630115727804,,,,0.037148630115727804,,,,-0.1614654001270034
global/E_lv_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
