Parameter,"S1_v_{AR} (Exp0, Sub0)","ST_v_{AR} (Exp0, Sub0)","S1_q_{lv} (Exp0, Sub0)","ST_q_{lv} (Exp0, Sub0)","S1_u_{AR} (Exp0, Sub0)","ST_u_{AR} (Exp0, Sub0)"
global/q_lv_init,-0.15525562384348182,0.06941561631886474,-0.0185661318283132,0.13233877708566594,7.155830192243114e-05,0.11866294093247867
aortic_root/C,-0.0664256759145526,0.010815757367760546,-0.05218877652571711,0.01161734046980773,-0.25119962637854404,0.10594272493051951
global/E_lv_A,0.20976470790739835,0.7992742761997216,-0.1902447606762632,0.07429689271792586,-0.09922734725546709,0.03321727867895856
global/E_lv_B,0.12973296391981956,0.053212268758463965,-0.03476906035614595,0.04942870700832567,-0.026483570468100952,0.036545031283384426
