global/q_lv_init,aortic_root/C,global/E_lv_A,global/E_lv_B,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
0.0002076171875,2.5404296874999995e-08,371093750.0,15451171.875,8.010326030079473e-05,0.0004970743301280126,8.851737964684762e-05,9707.005489389847,11274.456093599953,8384.25627515711,81.68373111712019
0.0012130859375,2.5404296874999995e-08,371093750.0,15451171.875,0.0001208780337762088,0.0006496939234558602,0.00012851705329886592,14701.419849064912,16948.584311762814,12760.808108331616,46.488999284178
0.0002076171875,6.263671874999999e-09,371093750.0,15451171.875,7.55838061525258e-05,0.0004050333725701664,8.473855441869452e-05,9168.915214525932,14871.211800097315,5786.01081672189,135.7596346625003
0.0002076171875,2.5404296874999995e-08,246093750.0,15451171.875,7.844154186058696e-05,0.00045378698766875816,8.651315241946957e-05,9515.541487461143,11074.116689246446,8241.651920054754,91.52122948645633
0.0002076171875,2.5404296874999995e-08,371093750.0,18513671.875,7.83186632174598e-05,0.00048746718052641283,8.681593718566654e-05,9508.367510674312,11040.142217190569,8212.297781398614,92.13860842812628
0.0002076171875,6.263671874999999e-09,246093750.0,18513671.875,7.119915985409664e-05,0.0003512052234716964,8.008644345833606e-05,8669.660830031506,14039.082199342347,5515.352964423789,165.36234297927166
0.0012130859375,2.5404296874999995e-08,246093750.0,18513671.875,0.0001155923861972052,0.0005822905844060711,0.0001226219504214707,14105.36643433803,16275.182679285324,12270.621117244833,23.74005706790905
0.0012130859375,6.263671874999999e-09,371093750.0,18513671.875,0.00011719674326857587,0.0005554271345058959,0.00012522326878126755,14282.109895679432,22543.769674381958,9124.930058412927,116.10748337949528
0.0012130859375,6.263671874999999e-09,246093750.0,15451171.875,0.00011657404279165486,0.0005167354695959541,0.00012403644103934063,14200.552929589372,22411.271112032253,9105.810233130534,110.73296840518313
0.0012130859375,6.263671874999999e-09,246093750.0,18513671.875,0.00011341598525470136,0.0005000619735433306,0.00012098810640361521,13846.979881861507,21810.992700432187,8894.374500541666,95.60992785239934
0.0008576171875,4.9904296875e-08,171093750.0,39951171.875,8.740754780077712e-05,0.000436636370502438,9.515012078668935e-05,10845.184742127336,11730.2965128132,10088.187485477893,47.55556255959957
0.0005630859375,4.9904296875e-08,171093750.0,39951171.875,7.867899956176135e-05,0.000407654539054929,8.669132792479386e-05,9739.858118897151,10548.061604238444,9054.83688984255,90.86664565524265
0.0008576171875,3.0763671875e-08,171093750.0,39951171.875,8.553208996698843e-05,0.00042793115730936344,9.355042882868622e-05,10596.50806988487,11957.418884785584,9444.76184339521,49.47241098119643
0.0008576171875,4.9904296875e-08,446093750.0,39951171.875,9.337286840869305e-05,0.0005416593268822406,0.00010145879964869724,11520.319145892103,12444.805459134332,10689.794033556738,31.185915531903504
0.0008576171875,4.9904296875e-08,171093750.0,43013671.875,8.583988577023411e-05,0.0004283920691083688,9.36958475636173e-05,10672.50289778461,11537.294054921704,9928.297708838225,53.42559453760005
0.0008576171875,3.0763671875e-08,446093750.0,43013671.875,9.035809646027011e-05,0.0005312100126171912,9.906478226946444e-05,11148.39546839743,12549.840289727723,9896.42922733458,31.488168556081785
0.0005630859375,4.9904296875e-08,446093750.0,43013671.875,8.266548192041529e-05,0.000498697624381781,9.114389454823515e-05,10194.499092706968,11028.250262032698,9453.311142460989,67.66103165695652
0.0005630859375,3.0763671875e-08,171093750.0,43013671.875,7.458937212934058e-05,0.0003862654561733393,8.317552267837148e-05,9244.738496494474,10451.702755766426,8235.709181469501,114.42495390196069
0.0005630859375,3.0763671875e-08,446093750.0,39951171.875,8.1881400955466e-05,0.0005012221380977391,9.072550774820315e-05,10071.180696478657,11360.99449046953,8929.657428991992,67.96793273332267
0.0005630859375,3.0763671875e-08,446093750.0,43013671.875,8.040363826106537e-05,0.0004934233450308552,8.936561640048664e-05,9905.887500744095,11174.86609817791,8780.49035022706,75.4925192857037
0.0011826171875,1.3154296875e-08,471093750.0,3201171.875,0.0001406602234821447,0.0007462155703614714,0.00014888059814555603,16853.807591968864,21839.277663753423,12996.450355633553,164.70366637143138
0.00023808593750000002,1.3154296875e-08,471093750.0,3201171.875,9.283830984373535e-05,0.0005616572131064623,0.00010201400750682305,11102.26245383374,14538.63858176016,8498.351115224174,29.253913215515432
0.0011826171875,4.3013671875e-08,471093750.0,3201171.875,0.00013681904073245592,0.0007502150974889591,0.00014422417840511667,16404.502006831193,17937.16212380006,15034.773676190536,168.5816241429643
0.0011826171875,1.3154296875e-08,146093750.0,3201171.875,0.00013061124187103352,0.0005829010060029101,0.00013667430653403843,15711.011517237446,20386.61441630455,12203.689066114282,76.46388807018185
0.0011826171875,1.3154296875e-08,471093750.0,30763671.875,0.00010849640918175006,0.0005922682268331275,0.00011722809109901877,13301.842589267844,17140.042574901916,10284.41291011403,8.41980043968976
0.0011826171875,4.3013671875e-08,146093750.0,30763671.875,0.00010097094795869866,0.00048023171375918545,0.00010852872455094308,12480.56946912837,13642.92571132102,11487.205599636949,18.543792057196548
0.00023808593750000002,1.3154296875e-08,146093750.0,30763671.875,6.423377353541661e-05,0.000326100691071216,7.314684377287512e-05,7907.163506554818,10386.087459891074,6131.657942703267,208.49570230461205
0.00023808593750000002,4.3013671875e-08,471093750.0,30763671.875,7.692815729531269e-05,0.0004939792860526191,8.537104925781069e-05,9396.563228350675,10303.626658121031,8593.804818956754,102.56442888148905
0.00023808593750000002,4.3013671875e-08,146093750.0,3201171.875,9.124408955979733e-05,0.00046694428517523543,9.819903593045773e-05,10940.234347097585,12026.42834886349,10033.871440781935,39.66534226975093
0.00023808593750000002,4.3013671875e-08,146093750.0,30763671.875,7.094200011982044e-05,0.00038204145216580817,7.927187635638653e-05,8715.835643736198,9593.925893989006,7998.926689288386,147.62338140047143
0.0005326171875,3.7654296875e-08,271093750.0,27701171.875,8.562098522052392e-05,0.000481388433201435,9.377565212025866e-05,10479.550896955378,11612.1855416658,9505.894465603396,53.2499257207869
0.0008880859375,3.7654296875e-08,271093750.0,27701171.875,9.797443300258619e-05,0.0005244366900555301,0.00010568951168642016,12014.245935556268,13282.154416290203,10909.800342428996,18.565089436563486
0.0005326171875,1.8513671874999997e-08,271093750.0,27701171.875,8.288161179832722e-05,0.00045954529314501586,9.164799507605314e-05,10144.377268754964,12336.790010811093,8385.309297857044,60.236494724781
