Parameter,"S1_v_{AR} (Exp0, Sub0)","ST_v_{AR} (Exp0, Sub0)","S1_q_{lv} (Exp0, Sub0)","ST_q_{lv} (Exp0, Sub0)","S1_u_{AR} (Exp0, Sub0)","ST_u_{AR} (Exp0, Sub0)",S1_Cost,ST_Cost
global/q_lv_init,0.3637413188803089,0.2827796524653894,0.7181742019140284,0.6542218143120733,0.6756072984788772,0.4247248424976785,0.172608550888042,0.6052738790717895
aortic_root/C,0.5033850758168343,0.18154842857289263,0.08730312976858863,0.01081848659574926,0.6432866892420038,0.46163180771554846,0.7412508434079189,1.3551893184014583
global/E_lv_A,0.30626919496334676,0.259079014665985,0.08061285007908069,0.0385925710827899,0.020124793010621533,0.013799204766073579,-0.00217006987453353,0.04095083103008641
global/E_lv_B,0.5542253585562166,0.4309467072517301,0.43902984966798797,0.5119982716888507,0.2009051276451069,0.22322490169098436,-0.24985959207879976,1.1456918264185634
