Parameter,"S1_v_{AR} (Exp0, Sub0)","ST_v_{AR} (Exp0, Sub0)","S1_q_{lv} (Exp0, Sub0)","ST_q_{lv} (Exp0, Sub0)","S1_u_{AR} (Exp0, Sub0)","ST_u_{AR} (Exp0, Sub0)"
global/q_lv_init,0.4525156220808601,0.45835230006891026,0.9410758192430358,0.946388218045485,0.48523523254609363,0.4897178066072356
aortic_root/C,0.1852803753101687,0.18880763299587294,0.005346015309284126,0.01161064802009374,0.49915575320894134,0.5042203767015836
global/E_lv_A,0.356416697979008,0.36026448090986835,0.0448630209805081,0.04881708644751265,0.011161867162871326,0.011590027696144093
