variable_name,units,value,data_reference
k_DrsGC_smc_kapela,per_ms,0.1e-3,kapela_data
k_pdecGMP_smc_kapela,per_ms,0.0695e-3,kapela_data
K_mpde_smc_kapela,mM,1e-3,kapela_data
V_cGMP_init_smc_kapela,mV,0,kapela_data
I_CasigmaCC_smc_kapela,pA,0,kapela_data
I_CaepsilonCC_smc_kapela,pA,0,kapela_data
I_NasigmaCC_smc_kapela,pA,0,kapela_data
I_NaepsilonCC_smc_kapela,pA,0,kapela_data
Sbar_CM_smc_kapela,mM,0.1,kapela_data
K_dCM_smc_kapela,mM,2.60e-4,kapela_data
Bbar_F_smc_kapela,mM,0.1,kapela_data
K_dB_smc_kapela,mM,5.298e-4,kapela_data
I_stim_smc_kapela,pA,0,kapela_data
N_Avo_smc_kapela,per_mole,6.022e+23,kapela_data
Vol_i_smc_kapela,pL,1,kapela_data
G_0_smc_kapela,dimensionless,0,kapela_data
G_TG_smc_kapela,dimensionless,1e+5,kapela_data
k_1sGC_smc_kapela,per_ms_mM,2e+3,kapela_data
k_m1sGC_smc_kapela,per_ms,15e-3,kapela_data
k_2sGC_smc_kapela,per_ms,0.64e-5,kapela_data
k_DsGC_smc_kapela,per_ms,0.4e-3,kapela_data
NE_amp_smc_kapela,mM,0.001,kapela_data
NO_amp_smc_kapela,mM,0.001,kapela_data
NO_tstart_smc_kapela,ms,200e3,kapela_data
NO_tend_smc_kapela,ms,300e3,kapela_data
NE_tstart_smc_kapela,ms,100e3,kapela_data
NE_tend_smc_kapela,ms,300e3,kapela_data
K_2_smc_kapela,per_ms,0.5e-3,kapela_data
K_3_smc_kapela,per_ms,0.4e-3,kapela_data
K_4_smc_kapela,per_ms,0.1e-3,kapela_data
K_5_smc_kapela,per_ms,0.5e-3,kapela_data
K_7_smc_kapela,per_ms,0.1e-3,kapela_data
M_init_smc_kapela,dimensionless,0.9685,kapela_data
Mp_init_smc_kapela,dimensionless,0.0063,kapela_data
AMp_init_smc_kapela,dimensionless,0.0044,kapela_data
AM_init_smc_kapela,dimensionless,0.0208,kapela_data
alpha_Ca_smc_kapela,dimensionless,0.24,kapela_data
K_CaCaM_smc_kapela,per_mM,1.78e-4,kapela_data
gamma_smc_kapela,per_mM_3_s,17e6,kapela_data
