variable_name,units,value,data_reference
g_ClCa_smc_kapela_VoltageClamp,nS_per_pF,0.23,smc_kapela_VoltageClamp_parameters.csv
Ibar_PMCA_smc_kapela_VoltageClamp,pA,5.37,smc_kapela_VoltageClamp_parameters.csv
K_mPMCa_smc_kapela_VoltageClamp,mM,1.7e-4,smc_kapela_VoltageClamp_parameters.csv
g_NCX_smc_kapela_VoltageClamp,pA,0.000487,smc_kapela_VoltageClamp_parameters.csv
d_NCX_smc_kapela_VoltageClamp,dimensionless,0.0003,smc_kapela_VoltageClamp_parameters.csv
gamma_NCX_smc_kapela_VoltageClamp,dimensionless,0.45,smc_kapela_VoltageClamp_parameters.csv
Ibar_NaK_smc_kapela_VoltageClamp,pA_per_pF,2.3083,smc_kapela_VoltageClamp_parameters.csv
n_HKe_smc_kapela_VoltageClamp,dimensionless,1.1,smc_kapela_VoltageClamp_parameters.csv
K_dKe_smc_kapela_VoltageClamp,mM,1.6,smc_kapela_VoltageClamp_parameters.csv
n_HNai_smc_kapela_VoltageClamp,dimensionless,1.7,smc_kapela_VoltageClamp_parameters.csv
Na_dNai_smc_kapela_VoltageClamp,mM,22,smc_kapela_VoltageClamp_parameters.csv
Q_10_smc_kapela_VoltageClamp,dimensionless,1.87,smc_kapela_VoltageClamp_parameters.csv
L_NaKCl_smc_kapela_VoltageClamp,mole_2_per_J_s_m_2,1.79e-17,smc_kapela_VoltageClamp_parameters.csv
Ibar_IP3_smc_kapela_VoltageClamp,per_ms,2880e-6,smc_kapela_VoltageClamp_parameters.csv
Vol_Ca_smc_kapela_VoltageClamp,pL,0.7,smc_kapela_VoltageClamp_parameters.csv
IP_3_init_smc_kapela_VoltageClamp,mM,0,smc_kapela_VoltageClamp_parameters.csv
K_IP3_smc_kapela_VoltageClamp,mM,1.2e-04,smc_kapela_VoltageClamp_parameters.csv
Kact_IP3_smc_kapela_VoltageClamp,mM,1.7e-04,smc_kapela_VoltageClamp_parameters.csv
h_IP3_init_smc_kapela_VoltageClamp,dimensionless,0.59524,smc_kapela_VoltageClamp_parameters.csv
kon_IP3_smc_kapela_VoltageClamp,per_ms_mM,1.4,smc_kapela_VoltageClamp_parameters.csv
Kinh_IP3_smc_kapela_VoltageClamp,mM,1e-04,smc_kapela_VoltageClamp_parameters.csv
Ca_SRu_init_smc_kapela_VoltageClamp,mM,0.66,smc_kapela_VoltageClamp_parameters.csv
Ca_SRr_init_smc_kapela_VoltageClamp,mM,0.57,smc_kapela_VoltageClamp_parameters.csv
